No.,Trigpoint Name,TP:UK Reference & Link,Trig Type,Condition,Height (m),Grid Ref
2950,Iltney Farm,TP4099,Pillar,Good,8.9,TL8833804422
2951,Ilmington Down,TP4098,Pillar,Good,259.8,SP1865742733
2952,Ilchester Crescent,TP4097,Pillar,Damaged,51.4,ST5756470377
2953,Idle Stop,TP4096,Pillar,Good,5.2,SK7249496606
2954,Idle Hill Resr,TP4095,Pillar,Good,228.8,SE1646437310
2955,Ibsley Common,TP4094,Pillar,Good,76.3,SU1717709875
2956,Hydons Ball,TP4093,Pillar,Slightly damaged,178.8,SU9779039584
2957,Huttons Farm,TP4092,Pillar,Slightly damaged,139.8,SU7980487096
2958,Hutton Stud,TP4091,Pillar,Good,69.0,TQ6385595133
2959,Hutton Roof Crag,TP4090,Pillar,Good,274.3,SD5559977456
2960,Hutton Mulgrave Moor,TP4089,Pillar,Good,264.0,NZ8420108930
2961,Hutton Heads,TP4088,Pillar,Good,99.3,SD5147963901
2962,Hutton Bank,TP4087,Pillar,Good,202.8,NY4528937398
2963,Hutton,TP4086,Pillar,Good,56.5,SE4803176463
2964,Hutcherton Down,TP4085,Pillar,Good,230.3,SS6386232965
2965,Hut Circle Camp,TP4084,Pillar,Good,282.4,SX1965069028
2966,Hustyn Barrow,TP4083,Pillar,Good,184.1,SX0001368001
2967,Hurst Wood,TP4081,Pillar,Good,167.2,TQ6299754384
2968,Hurst Hill,TP4080,Pillar,Good,158.9,SP4768504119
2969,Hurlet Hill,TP4079,Pillar,Good,63.1,NS5137661220
2970,Hurda Field,TP4078,Pillar,Good,118.9,HU3399569713
2971,Hurd Law,TP4077,Pillar,Slightly damaged,240.5,NT6652751528
2972,Hurcott Farm,TP4076,Pillar,Good,245.1,SO6642965557
2973,Huntspill,TP4075,Pillar,Good,5.5,ST3241545398
2974,Huntsham Castle,TP4074,Pillar,Good,263.7,SS9916817898
2975,Huntly Covert,TP4073,Pillar,Good,353.6,NT4344523984
2976,Huntingland,TP4072,Pillar,Good,128.5,SU6592891506
2977,Hunters Hill Farm,TP4071,Pillar,Good,60.1,SE3245999545
2978,Hunter Hill,TP4070,Pillar,Damaged,374.7,SE0506928962
2979,Hunter Bark,TP4069,Pillar,Good,315.5,SD8263861045
2980,Hunt Hill,TP4068,Pillar,Good,364.9,NJ2368146671
2981,Hunsdon,TP4066,Pillar,Damaged,79.9,TL4286414386
2982,Hunsbury Hill,TP4065,Pillar,Good,113.0,SP7387258398
2983,Hungry Law,TP4064,Pillar,Good,501.4,NT7471806142
2984,Hungry Hill,TP4063,Pillar,Moved,171.5,SU8449249804
2985,Hungerton,TP4062,Pillar,Good,141.2,SK8757230358
2986,Hungerford Waterworks,TP4061,Pillar,Good,135.0,SU3335167968
2987,Hunger Hill,TP4060,Pillar,Good,95.9,SK0984718641
2988,Hunger Hill,TP4059,Pillar,Good,318.1,SD8648315956
2989,Hundleton,TP4058,Pillar,Good,90.3,SR9675499914
2990,Hundleshope Heights,TP4057,Pillar,Slightly damaged,684.0,NT2500233946
2991,Hundland Hill,TP4056,Pillar,Good,107.0,HY3009527136
2992,Hundhill,TP4055,Pillar,Good,0.0,SE4497019010
2993,Humphrey Head,TP4054,Pillar,Good,52.9,SD3910073826
2994,Hummelknows,TP4053,Pillar,Slightly damaged,301.1,NT5230011992
2995,Humbie Farm,TP4052,Pillar,Good,95.0,NT1130275820
2996,Humber Hill,TP4051,Pillar,Good,270.3,NZ1419446519
2997,Hulse,TP4050,Pillar,Good,40.4,SJ7042072545
2998,Hulme,TP4049,Pillar,Good,249.2,SJ9291645118
2999,Huish Moor,TP4048,Pillar,Good,123.9,SS5000129183
3000,Huggate Wold,TP4047,Pillar,Good,200.5,SE8747457665
3001,Hoyland Swaine,TP4046,Pillar,Good,269.6,SE2563204758
3002,Howstrake Golf Course,TP4045,Pillar,Good,130.4,SC4142278137
3003,Hownam Law,TP4044,Pillar,Good,449.0,NT7965521924
3004,Howden,TP4043,Pillar,Good,171.6,NT6574619252
3005,How Hill,TP4042,Pillar,Good,317.0,NY3927036410
3006,How Barrow,TP4041,Pillar,Good,170.0,SD3576179199
3007,Hound Hillock,TP4040,Pillar,Good,516.6,NO6216079214
3008,Hound Hill,TP4039,Pillar,Damaged,97.8,SK1395730328
3009,Hough Top,TP4038,Pillar,Good,135.3,SE2335233649
3010,Hough Park,TP4037,Pillar,Good,208.6,SK2418945911
3011,Hough Hill,TP4036,Pillar,Good,244.2,SJ9684397423
3012,Hough Hill,TP4035,Pillar,Slightly damaged,165.8,SD5925622963
3013,Hotley Hill,TP4034,Pillar,Good,239.3,SP3298733316
3014,Hotham Hill,TP4033,Pillar,Good,50.5,SE8827635404
3015,Hostaberg,TP4032,Pillar,Good,197.5,HU3702849216
3016,Hose Hill,TP4031,Pillar,Good,134.2,SK7993816010
3017,Horton,TP4030,Pillar,Good,205.5,ST7705684572
3018,Horton,TP4029,Pillar,Good,73.1,SP5879912912
3019,Horsford Heath,TP4028,Pillar,Good,36.7,TG1869717562
3020,Horsfield,TP4027,Pillar,Good,92.4,SJ9221192633
3021,Horsey Hill Fort,TP4026,Pillar,Good,7.5,TL2227095925
3022,Horseshoe Hill,TP4025,Pillar,Good,519.9,NY9852444892
3023,Horsenden Hill,TP4024,Pillar,Good,84.8,TQ1618984389
3024,Horsenden Hill,TP4023,Pillar,Good,101.7,SP6940202597
3025,Horseley Hill,TP4022,Pillar,Good,262.2,NT8324862078
3026,Horsedown Common,TP4021,Pillar,Good,165.3,SU7663948069
3027,Horse Head,TP4020,Pillar,Good,605.3,SD8871577973
3028,Horningsham,TP4019,Pillar,Good,175.6,ST8353140962
3029,Horcum,TP4017,Pillar,Good,289.5,SE8549694033
3030,Hopwas,TP4016,Pillar,Toppled,151.3,SK1635504143
3031,Hopping Top,TP4015,Pillar,Good,271.9,SK2097762718
3032,Hopkins Mount,TP4014,Pillar,Slightly damaged,61.5,ST1704867891
3033,Hopeshead,TP4013,Pillar,Good,179.6,NY4657174497
3034,Hopealone,TP4012,Pillar,Good,316.1,NY7408072018
3035,Hope Mountain,TP4011,Pillar,Good,331.1,SJ2947856895
3036,Hope Hill,TP4010,Pillar,Good,253.6,NC7786018884
3037,Hope Farm,TP4009,Pillar,Good,76.2,TR3710646264
3038,Hoove Faggergill,TP4008,Pillar,Good,553.5,NZ0045507304
3039,Hoon Mount,TP4007,Pillar,Good,83.9,SK2300931824
3040,Hoolster Hill,TP4006,Pillar,Good,124.8,SD6276329473
3041,Hooks Beech,TP4005,Pillar,Good,105.6,TQ7667120909
3042,Hook Moor,TP4004,Pillar,Toppled,90.6,SE4325234853
3043,Hoods Hill,TP4002,Pillar,Good,224.5,NO0437301342
3044,Honington Heath,TP4000,Pillar,Good,123.2,SK9488141719
3045,Honington,TP3999,Pillar,Good,54.8,TL8752975582
3046,Honingham,TP3998,Pillar,Good,58.5,TG1101513975
3047,Honeygar,TP3997,Pillar,Good,4.5,ST4266842799
3048,Honey Hill,TP3996,Pillar,Good,4.9,TL4314188494
3049,Homestead Farm,TP3995,Pillar,Good,48.3,SK6110335263
3050,Homedown,TP3994,Pillar,Good,173.2,SS6576723292
3051,Home Farm Pillar,TP3993,Pillar,Good,69.1,ST7060464932
3052,Home Farm,TP3992,Pillar,Slightly damaged,9.9,TQ8763576176
3053,Holywood,TP3991,Pillar,Slightly damaged,26.6,NX9575779617
3054,Holywell Wood,TP3990,Pillar,Good,0.0,SE4441024426
3055,Holyhead,TP3989,Pillar,Good,220.4,SH2185482945
3056,Holybourne,TP3988,Pillar,Damaged,225.2,SU7250343663
3057,Holy Island,TP3987,Pillar,Good,314.3,NS0631329744
3058,Holtham,TP3985,Pillar,Good,220.7,SU7269230840
3059,Holsworthy Beacon,TP3983,Pillar,Good,195.2,SS3568408229
3060,Holmshill,TP3982,Pillar,Moved,125.7,TQ2145999209
3061,Holmfield,TP3981,Pillar,Good,38.3,SE4621924546
3062,Holme Moss,TP3980,Pillar,Good,581.9,SE0781604684
3063,Holme Knott,TP3979,Pillar,Good,349.9,SD6460189530
3064,Holme House Farm,TP3978,Pillar,Toppled,13.0,NZ4602720536
3065,Holme Heath,TP3977,Pillar,Good,27.2,SY8821684609
3066,Hollyberry End,TP3975,Pillar,Good,181.1,SP2568183944
3067,Holly Hill,TP3974,Pillar,Good,196.4,TQ6681162749
3068,Hollinsclough Moor,TP3972,Pillar,Good,424.2,SK0553165838
3069,Hollington,TP3971,Pillar,Good,204.7,SK0574439120
3070,Hollingbury Castle,TP3970,Pillar,Good,178.5,TQ3214107943
3071,Hollin Hill,TP3969,Pillar,Good,451.1,SE0368232332
3072,Holehead,TP3968,Pillar,Good,551.1,NS6177482610
3073,Holdstone Down,TP3967,Pillar,Good,349.3,SS6194747702
3074,Holcomb Nap,TP3966,Pillar,Good,163.4,SO9929938767
3075,Hogs Back,TP3965,Pillar,Good,148.3,SU9105048296
3076,Hograh Moor,TP3964,Pillar,Good,370.9,NZ6416905673
3077,Hog Lowe Pike,TP3963,Pillar,Good,383.0,SD7478421406
3078,Hog Fell,TP3962,Pillar,Good,371.9,NY3925989279
3079,Hoftens Cross,TP3961,Pillar,Good,363.1,SK0762947766
3080,Hoddern Farm,TP3960,Pillar,Good,62.0,TQ4270002902
3081,Hodbarrow,TP3959,Pillar,Slightly damaged,20.4,SD1825478187
3082,Hobshill,TP3958,Pillar,Good,76.5,NK0442437065
3083,Hobbacott,TP3957,Pillar,Slightly damaged,128.9,SS2460904995
3084,Hob Hill,TP3956,Pillar,Good,182.6,SP0681072380
3085,Hoads Hill,TP3955,Pillar,Good,64.1,SU5793810116
3086,Hitteril Hill,TP3954,Pillar,Slightly damaged,491.3,NS9649308140
3087,Hither Longfield,TP3953,Pillar,Good,67.7,TM0961850478
3088,Hirsel Law,TP3952,Pillar,Good,94.1,NT8244941612
3089,Hirfynydd,TP3951,Pillar,Good,480.9,SN8392507601
3090,Hips Heugh,TP3949,Pillar,Good,57.9,NU2521918430
3091,Hinstock,TP3947,Pillar,Good,101.8,SJ6953525012
3092,Hindleap,TP3946,Pillar,Good,187.9,TQ4035432381
3093,Hindhope Law,TP3945,Pillar,Good,425.5,NY7671197432
3094,Hinderwell Beacon,TP3944,Pillar,Good,115.8,NZ7932917811
3095,Hilton Resr,TP3942,Pillar,Good,55.7,NH9261085800
3096,Hilton,TP3941,Pillar,Good,157.8,NO3041605380
3097,Hilton,TP3940,Pillar,Good,171.5,NS5320877359
3098,Hilly Fields,TP3939,Pillar,Good,50.8,TQ3738175271
3099,Hilly Field,TP3938,Pillar,Good,194.0,SJ9781957877
3100,Hilltop,TP3936,Pillar,Good,114.5,SK0860214282
3101,Hilltop,TP3935,Pillar,Good,103.3,NY4151174907
3102,Hillton,TP3934,Pillar,Good,101.5,NJ7113055805
3103,Hillside,TP3933,Pillar,Good,185.0,NO0691103445
3104,Hills,TP3932,Pillar,Good,70.8,NJ3153161727
3105,Hillocks Farm,TP3931,Pillar,Good,219.6,SO6525275987
3106,Hillingdon Farm,TP3930,Pillar,Good,248.5,NZ0628321224
3107,Hillhouse,TP3929,Pillar,Good,115.3,NY5208666999
3108,Hillhead Of Fechil,TP3928,Pillar,Good,49.4,NJ9560229728
3109,Hillhead Of Cocklaw,TP3927,Pillar,Good,94.4,NK0882344316
3110,Hillhead Mountblairy,TP3926,Pillar,Good,136.3,NJ6816253228
3111,Hillhead Farm,TP3925,Pillar,Good,53.8,ND2780163351
3112,Hillhead,TP3924,Pillar,Good,171.4,NU1910008028
3113,Hillhead,TP3923,Pillar,Good,174.6,NO7957176809
3114,Hill Top Farm,TP3921,Pillar,Good,303.2,SK2760199129
3115,Hill Top Farm,TP3920,Pillar,Good,94.9,SJ8855982807
3116,Hill Top,TP3919,Pillar,Slightly damaged,110.0,SO9975362213
3117,Hill Top,TP3918,Pillar,Good,139.5,SK3962092912
3118,Hill Of Yarrows,TP3916,Pillar,Slightly damaged,212.2,ND2961442798
3119,Hill Of Wirren,TP3915,Pillar,Good,678.2,NO5229173938
3120,Hill Of Westerhouse,TP3914,Pillar,Good,312.6,NS8879653263
3121,Hill Of Ulbster,TP3913,Pillar,Good,107.4,ND3311842308
3122,Hill Of Turlundie,TP3912,Pillar,Good,198.9,NJ8766156301
3123,Hill Of Towie,TP3911,Pillar,Good,338.9,NJ3823047308
3124,Hill Of Towanreef,TP3910,Pillar,Good,432.8,NJ4567924180
3125,Hill Of Toftcarl,TP3909,Pillar,Good,68.9,ND3553446149
3126,Hill Of Tillymorgan,TP3908,Pillar,Good,381.3,NJ6523634814
3127,Hill Of Tarvit,TP3907,Pillar,Good,211.3,NO3754612061
3128,Hill Of Talnamounth,TP3906,Pillar,Good,379.3,NJ4092040744
3129,Hill Of Summertown,TP3905,Pillar,Good,246.6,NJ5310760121
3130,Hill Of Stemster,TP3903,Pillar,Good,48.7,ND3423350450
3131,Hill Of Stake,TP3902,Pillar,Good,522.4,NS2735463004
3132,Hill Of Spynie,TP3901,Pillar,Good,31.7,NJ2250665388
3133,Hill Of Slickly,TP3900,Pillar,Good,65.9,ND3010767143
3134,Hill Of Rothmaise,TP3899,Pillar,Damaged,260.9,NJ6896233745
3135,Hill Of Rigifa,TP3898,Pillar,Good,81.0,ND3047972144
3136,Hill Of Quheyin,TP3897,Pillar,Good,68.0,HU5311586220
3137,Hill Of Petty,TP3896,Pillar,Good,191.5,NJ7427736140
3138,Hill Of Olrig,TP3895,Pillar,Good,141.1,ND1748465649
3139,Hill Of Ollaberry,TP3894,Pillar,Good,118.0,HU3604081230
3140,Hill Of Ogil,TP3893,Pillar,Good,260.5,NO4407761138
3141,Hill Of Mulderie,TP3892,Pillar,Good,310.9,NJ3833151701
3142,Hill Of Milleath,TP3891,Pillar,Good,321.3,NJ4686042386
3143,Hill Of Middleton,TP3890,Pillar,Good,142.0,NJ8477319975
3144,Hill Of Mid Clyth,TP3889,Pillar,Good,164.1,ND2853938560
3145,Hill Of Meft,TP3888,Pillar,Good,36.7,NJ2694864079
3146,Hill Of Lybster,TP3887,Pillar,Good,51.8,ND0226569370
3147,Hill Of Lussetter,TP3886,Pillar,Good,102.6,HU5219290027
3148,Hill Of Lieurary,TP3885,Pillar,Good,137.6,ND0810261663
3149,Hill Of Kirriemuir,TP3884,Pillar,Good,189.7,NO3920854617
3150,Hill Of Keir,TP3883,Pillar,Good,222.4,NJ8175408318
3151,Hill Of Harland,TP3882,Pillar,Good,60.8,ND3256153790
3152,Hill Of Grange,TP3881,Pillar,Good,206.5,NJ4685755129
3153,Hill Of Glansie,TP3880,Pillar,Good,726.0,NO4301969801
3154,Hill Of Foulzie,TP3879,Pillar,Good,134.0,NJ7244559773
3155,Hill Of Fitch,TP3878,Pillar,Good,174.5,HU4383141542
3156,Hill Of Fishrie,TP3877,Pillar,Good,227.3,NJ8218557940
3157,Hill Of Findon,TP3876,Pillar,Good,196.7,NJ8025763667
3158,Hill Of Dens,TP3875,Pillar,Good,168.4,NJ9527545562
3159,Hill Of Culbirnie,TP3874,Pillar,Good,158.2,NJ6314960443
3160,Hill Of Corrachree,TP3873,Pillar,Good,294.4,NJ4552304575
3161,Hill Of Collithie,TP3872,Pillar,Good,323.4,NJ5073834287
3162,Hill Of Cleftbog,TP3871,Pillar,Good,183.0,NJ6888345982
3163,Hill Of Clashmadin,TP3870,Pillar,Good,258.8,NJ4727260175
3164,Hill Of Christs Kirk,TP3869,Pillar,Slightly damaged,311.5,NJ6018327427
3165,Hill Of Cat,TP3868,Pillar,Good,741.9,NO4848087168
3166,Hill Of Buolglass,TP3867,Pillar,Good,148.7,ND1705932213
3167,Hill Of Berry,TP3865,Pillar,Good,93.9,HU3996440241
3168,Hill Of Belnagoak,TP3864,Pillar,Slightly damaged,177.5,NJ8725742108
3169,Hill Of Beath,TP3863,Pillar,Good,239.9,NT1376890057
3170,Hill Of Barnaigh,TP3862,Pillar,Good,189.8,NS3669962009
3171,Hill Of Alyth,TP3861,Pillar,Good,295.4,NO2431750364
3172,Hill Of Aldie,TP3860,Pillar,Good,120.3,NK0494941873
3173,Hill House Farm,TP3859,Pillar,Good,16.0,SD4866936937
3174,Hill House,TP3858,Pillar,Good,425.3,SK0516958571
3175,Hill House,TP3857,Pillar,Slightly damaged,135.4,NS4906733946
3176,Hill Head Farm,TP3856,Pillar,Good,185.9,NZ2226358692
3177,Hill Field,TP3855,Pillar,Good,213.3,NS6262357615
3178,Hill Farm Winchelsea,TP3854,Pillar,Good,37.5,TQ9010717534
3179,Hill Farm,TP3853,Pillar,Good,22.3,TM4274455020
3180,Hill Farm,TP3852,Pillar,Good,92.1,SP3897890731
3181,Hill Farm,TP3851,Pillar,Good,167.5,SO7026846296
3182,Hill Court Estate,TP3849,Pillar,Good,54.9,ST6548295336
3183,Hill Barton,TP3848,Pillar,Good,47.6,SX9524892943
3184,Hill Barn,TP3847,Pillar,Good,235.4,SU3390885738
3185,Hill Barn,TP3846,Pillar,Good,113.7,SY7855995716
3186,Hill Barn,TP3845,Pillar,Good,52.4,SO9549955876
3187,Hill Barn,TP3844,Pillar,Good,203.9,SO4153764289
3188,Hill,TP3843,Pillar,Good,104.8,NS7814898296
3189,Highweek Resr,TP3842,Pillar,Good,99.7,SX8466372176
3190,Highwatch Currick,TP3841,Pillar,Damaged,639.5,NY8210640033
3191,Hightown Hill,TP3840,Pillar,Good,250.0,NY0358283541
3192,Highoredish,TP3839,Pillar,Good,295.4,SK3504659298
3193,Highmains Hill Resr,TP3838,Pillar,Good,103.4,NY0153467998
3194,Highgate,TP3837,Pillar,Good,172.8,NY6063322043
3195,Highfields,TP3836,Pillar,Good,98.8,SK2372908862
3196,Highfield,TP3835,Pillar,Good,308.8,NY7479088176
3197,Higher Woolsgrove,TP3834,Pillar,Slightly damaged,183.3,SS7927703195
3198,Higher Whitley,TP3833,Pillar,Good,86.9,SJ6345280065
3199,Higher Whitefield Farm,TP3832,Pillar,Good,310.3,ST0654630307
3200,Higher Tuckers Moor,TP3830,Pillar,Good,268.9,SS8703824072
3201,Higher Trolvis Quarry,TP3829,Pillar,Good,201.4,SW7428534607
3202,Higher Stentiford,TP3828,Pillar,Good,181.9,SS5876210109
3203,Higher Slade,TP3827,Pillar,Good,207.2,SS5026046653
3204,Higher Shelfstones,TP3826,Pillar,Good,621.5,SK0889494787
3205,Higher Oborne,TP3825,Pillar,Good,146.5,ST6432919208
3206,Higher Hollam Farm,TP3824,Pillar,Slightly damaged,171.1,SS4966015972
3207,Higher Hill,TP3823,Pillar,Good,244.5,ST7275002089
3208,Higher Hareston,TP3822,Pillar,Good,103.2,SX5635153216
3209,Higher Ennis Farm,TP3821,Pillar,Good,150.6,SW8425353686
3210,Higher Broadpark,TP3820,Pillar,Slightly damaged,181.1,SX3696597560
3211,Highdown Hill,TP3819,Pillar,Good,81.5,TQ0922104375
3212,Highbury,TP3818,Pillar,Good,63.8,SU7117067351
3213,Highash,TP3817,Pillar,Good,125.8,SJ5663954228
3214,Higham Gobion,TP3816,Pillar,Good,75.4,TL1007532511
3215,Higham Dykes,TP3815,Pillar,Good,92.7,NZ1344675494
3216,High Wood,TP3814,Pillar,Good,139.7,TL4526636024
3217,High Wheeldon,TP3813,Pillar,Good,421.9,SK1003766111
3218,High Waupley Farm,TP3812,Pillar,Good,200.0,NZ7277614276
3219,High Warren Resr,TP3811,Pillar,Good,105.0,SJ6138984264
3220,High Trewhitt,TP3810,Pillar,Good,165.2,NU0113305215
3221,High Street Green,TP3809,Pillar,Good,148.6,TL0723808316
3222,High Seat,TP3807,Pillar,Good,608.7,NY2870918046
3223,High Scales,TP3806,Pillar,Good,60.8,NY1998345626
3224,High Rake,TP3804,Pillar,Remains,391.8,SK2088173402
3225,High Raise,TP3803,Pillar,Good,762.3,NY2807609539
3226,High Possil Wood,TP3802,Pillar,Slightly damaged,69.2,NS5905969679
3227,High Pike,TP3801,Pillar,Good,658.4,NY3187535009
3228,High Penard,TP3800,Pillar,Good,97.8,SS5700486691
3229,High Peak,TP3799,Pillar,Good,157.1,SY1034385937
3230,High Park,TP3798,Pillar,Good,247.5,NY0429221201
3231,High Park,TP3797,Pillar,Damaged,116.0,NS3969019088
3232,High Onn,TP3796,Pillar,Good,133.0,SJ8290415973
3233,High Neb,TP3795,Pillar,Good,458.1,SK2281685344
3234,High Murdonochee,TP3794,Pillar,Slightly damaged,276.2,NX1704075022
3235,High Moorsley,TP3793,Pillar,Good,163.4,NZ3376045462
3236,High Moors,TP3792,Pillar,Good,224.2,SS2911414589
3237,High Low,TP3791,Pillar,Good,312.4,SK1557167700
3238,High Law Barrow,TP3790,Pillar,Good,90.5,NK0622733930
3239,High Hunsley,TP3789,Pillar,Good,162.7,SE9385134640
3240,High House,TP3788,Pillar,Good,172.0,NZ1770832405
3241,High Haume,TP3787,Pillar,Good,156.5,SD2264976117
3242,High Habberley Farm,TP3786,Pillar,Good,81.1,SO8085277071
3243,High Emmotland,TP3785,Pillar,Good,7.6,TA0862551871
3244,High Dykes,TP3784,Pillar,Good,197.8,NY4796532810
3245,High Dole,TP3782,Pillar,Good,125.8,TQ3973603700
3246,High Craighead,TP3781,Pillar,Good,168.8,NS2264201374
3247,High Craig,TP3780,Pillar,Damaged,130.6,NS4303261216
3248,High Copelaw Farm,TP3779,Pillar,Good,94.9,NZ2950925129
3249,High Common,TP3778,Pillar,Good,63.3,TF9991706070
3250,High Common,TP3777,Pillar,Good,31.4,SK6183094614
3251,High Cademan,TP3776,Pillar,Good,197.1,SK4415016908
3252,High Brown Knoll,TP3775,Pillar,Good,443.3,SE0094930388
3253,High Bridge Farm,TP3774,Pillar,Good,4.5,TL4383972182
3254,High Blind How,TP3773,Pillar,Good,269.4,SD3820397344
3255,High Bent,TP3772,Pillar,Good,336.3,SJ9155959319
3256,High Barn,TP3771,Pillar,Good,174.1,SE9403472212
3257,High Barn,TP3770,Pillar,Good,242.2,SD7569012312
3258,High Audland,TP3769,Pillar,Good,271.4,SD5854485770
3259,High Auchenleck,TP3768,Pillar,Slightly damaged,201.8,NS3277572850
3260,High Ash Hill,TP3767,Pillar,Converted,54.2,TL8065497311
3261,High Arnside,TP3765,Pillar,Good,322.3,NY3402201591
3262,High Acre,TP3764,Pillar,Good,66.4,SK4939535506
3263,Hicknor Hill,TP3763,Pillar,Good,57.5,SU4293718355
3264,Hickling Standard,TP3762,Pillar,Damaged,105.0,SK6832228248
3265,Hickleton Spring,TP3761,Pillar,Good,96.3,SE4801406123
3266,Hibaldstow,TP3760,Pillar,Slightly damaged,7.1,SE9909601594
3267,Heyshott Down,TP3759,Pillar,Good,233.9,SU8999316628
3268,Heyshaw Moor,TP3758,Pillar,Good,331.9,SE1651762860
3269,Heydon,TP3757,Pillar,Good,134.8,TL4346739880
3270,Hey Farm,TP3756,Pillar,Good,253.5,SD9300110581
3271,Hexham Racecourse,TP3755,Pillar,Good,233.2,NY9187962322
3272,Hexham Common,TP3754,Pillar,Slightly damaged,291.1,NY8870559873
3273,Hewer Hill Quarry,TP3753,Pillar,Good,257.1,NY3718739314
3274,Heversham Head,TP3752,Pillar,Good,123.0,SD5019783803
3275,Hetland Hill,TP3751,Pillar,Good,162.6,NY0901172725
3276,Hethel,TP3750,Pillar,Good,47.4,TG1577500065
3277,Hesworth,TP3749,Pillar,Good,70.3,TQ0050719236
3278,Hertford Heath,TP3748,Pillar,Good,98.1,TL3496110556
3279,Herstmonceux,TP3747,Pillar,Good,33.1,TQ6507410000
3280,Hersedd,TP3746,Pillar,Moved,255.4,SJ1914268755
3281,Heron Wood,TP3745,Pillar,Good,217.2,SJ9661036503
3282,Herne Hill,TP3744,Pillar,Good,106.3,ST3524813858
3283,Hermitage,TP3743,Pillar,Good,201.8,ST6466405710
3284,Hergest Ridge,TP3742,Pillar,Good,423.1,SO2566156277
3285,Hercules,TP3741,Pillar,Good,197.0,SD8245112374
3286,Heptonstall Moor,TP3740,Pillar,Good,398.0,SD9510230269
3287,Heol Senni,TP3739,Pillar,Good,603.5,SN9123621653
3288,Hensborough Hill,TP3738,Pillar,Good,113.0,SP4626269166
3289,Hensbarrow,TP3737,Pillar,Slightly damaged,312.7,SW9967957545
3290,Henning Hill,TP3736,Pillar,Good,199.1,ST7617901705
3291,Henna Cliff,TP3735,Pillar,Good,143.4,SS2033815795
3292,Henmoor Hill,TP3734,Pillar,Good,270.4,SO6040497918
3293,Henley Grove Fort,TP3733,Pillar,Good,138.4,SU9819348836
3294,Henlake Down,TP3732,Pillar,Good,212.6,SX6302057229
3295,Hendre,TP3731,Pillar,Good,129.5,SN3271913984
3296,Hendon Moor,TP3730,Pillar,Good,233.4,SS2605218249
3297,Pen-Lan-Ffos,TP3729,Pillar,Good,167.8,SN4143322193
3298,Hemswell,TP3728,Pillar,Good,73.3,SK9371791779
3299,Hemphill,TP3727,Pillar,Good,173.0,NS4948540426
3300,Hemerdon Ball,TP3726,Pillar,Good,212.1,SX5705958195
3301,Hemborough,TP3725,Pillar,Good,195.5,SX8398752576
3302,Helvellyn,TP3724,Pillar,Good,949.2,NY3417015159
3303,Helsby Hill,TP3723,Pillar,Good,141.3,SJ4919975431
3304,Helman Tor,TP3722,Pillar,Slightly damaged,209.7,SX0620561576
3305,Helm,TP3721,Pillar,Good,185.5,SD5306688733
3306,Helm,TP3720,Pillar,Good,107.0,NZ1884996549
3307,Helli Ness,TP3719,Pillar,Good,39.0,HU4609928714
3308,Heishival More (Vatersay I),TP3718,Pillar,Good,190.8,NL6266596359
3309,Heilla,TP3717,Pillar,Good,116.1,NG3494534398
3310,Heights Of Ramnageo,TP3716,Pillar,Good,93.6,HU5294480607
3311,Heights,TP3715,Pillar,Good,216.8,NY7020814795
3312,Heighley,TP3714,Pillar,Good,160.7,SJ7732047309
3313,Heet Farm,TP3713,Pillar,Good,63.2,SP6429420572
3314,Hedley Hill,TP3712,Pillar,Good,147.5,NZ1430396600
3315,Hedgehope Hill,TP3711,Pillar,Good,716.0,NT9438619790
3316,Heddon Hill,TP3710,Pillar,Good,277.6,NU0041520300
3317,Heckfield Heath,TP3709,Pillar,Good,82.4,SU7181861609
3318,Hebron Hill,TP3708,Pillar,Good,129.8,NZ1885490358
3319,Heath Mynd,TP3707,Pillar,Slightly damaged,0.0,SO3355894079
3320,Heath Moor,TP3706,Pillar,Good,193.4,SX5208898606
3321,Heath Lane,TP3705,Pillar,Good,32.0,SU5311505249
3322,Heath Farm,TP3704,Pillar,Good,98.6,TL3810041846
3323,Heath Common,TP3703,Pillar,Good,39.7,SE3542219122
3324,Healing Creek,TP3702,Pillar,Good,4.5,TA2377813097
3325,Healey,TP3701,Pillar,Good,315.0,SD8901716662
3326,Healaval Beg,TP3700,Pillar,Damaged,488.3,NG2249342215
3327,Headshill,TP3699,Pillar,Good,245.8,NS7166347793
3328,Headley Heath,TP3698,Pillar,Good,198.0,SP0607977059
3329,Headhone Farm,TP3697,Pillar,Good,9.7,SU9298703848
3330,Hazleton,TP3696,Pillar,Good,256.7,SP0712417590
3331,Hazler Hill,TP3695,Pillar,Good,345.5,SO4651292894
3332,Hazlecote,TP3694,Pillar,Good,204.8,ST8341396326
3333,Hazelwell,TP3693,Pillar,Good,132.6,SO7357984729
3334,Hazelhurst Fell,TP3692,Pillar,Good,429.8,SD5633848023
3335,Hazelbank,TP3691,Pillar,Good,227.2,NY0772694452
3336,Haypark,TP3688,Pillar,Good,72.0,SE3367372409
3337,Hayhouse Rigg,TP3687,Pillar,Good,254.7,NY5893461088
3338,Haydon Fell,TP3686,Pillar,Good,244.4,NY8452066807
3339,Hay Banks,TP3685,Pillar,Good,177.1,NZ0813276521
3340,Hawthornside Hill,TP3684,Pillar,Good,287.3,NT5574711538
3341,Hawold,TP3683,Pillar,Good,154.4,SE9092255212
3342,Hawley,TP3682,Pillar,Good,100.2,SU8433058460
